ECONOMY,YEAR,US Dollars at current prices and current exchange rates in millions,US Dollars at current prices and current exchange rates per capita,Percentage of total world,Percentage of Gross Domestic Product
          San Marino,1993,..,..,..,..
          San Marino,1994,..,..,..,..
          San Marino,1995,..,..,..,..
          San Marino,1996,..,..,..,..
          San Marino,1997,..,..,..,..
          San Marino,1998,..,..,..,..
          San Marino,1999,..,..,..,..
          San Marino,2000,..,..,..,..
          San Marino,2001,..,..,..,..
          San Marino,2002,..,..,..,..
          San Marino,2003,..,..,..,..
          San Marino,2004,..,..,..,..
          San Marino,2005,..,..,..,..
          San Marino,2006,..,..,..,..
          San Marino,2007,..,..,..,..
          San Marino,2008,..,..,..,..
          San Marino,2009,..,..,..,..
          San Marino,2010,..,..,..,..
          San Marino,2011,..,..,..,..
          Sao Tome and Principe,1980,0,0,0,0
          Sao Tome and Principe,1981,0,0,0,0
          Sao Tome and Principe,1982,0,0,0,0
          Sao Tome and Principe,1983,0,0,0,0
          Sao Tome and Principe,1984,0,0,0,0
          Sao Tome and Principe,1985,0,0,0,0
          Sao Tome and Principe,1986,0,0,0,0
          Sao Tome and Principe,1987,0.24,2.212124285,0.000017949,0.205352012
          Sao Tome and Principe,1988,0.44,3.962179199,2.88E-05,0.440944126
          Sao Tome and Principe,1989,0.39,3.432494279,2.12E-05,0.39264378
          Sao Tome and Principe,1990,0.39,3.35868133,1.87E-05,0.324340284
          Sao Tome and Principe,1991,0.39,3.290805994,0.000016635,0.360017393
          Sao Tome and Principe,1992,0.39,3.227541689,1.61E-05,0.407889737
          Sao Tome and Principe,1993,***,***,***,***
          Sao Tome and Principe,1994,***,***,***,***
          Sao Tome and Principe,1995,***,***,***,***
          Sao Tome and Principe,1996,0.26,1.992352432,6.52E-06,0.19081128
          Sao Tome and Principe,1997,0.4,3.004085556,8.72E-06,0.431735877
          Sao Tome and Principe,1998,4.6,33.86386725,0.000079825,6.313594679
          Sao Tome and Principe,1999,7.64,55.17241379,0.00010704,9.805526449
          Sao Tome and Principe,2000,11.44,81.12899794,0.000153557,14.8953126
          Sao Tome and Principe,2001,14.44,100.6762881,0.000193111,18.86263674
          Sao Tome and Principe,2002,18.04,123.7642442,0.000240494,21.31933785
          Sao Tome and Principe,2003,21.44,144.8276794,0.000228388,21.16164302
          Sao Tome and Principe,2004,24.94,165.9226537,0.000224671,22.52476167
          Sao Tome and Principe,2005,40.64,266.2787803,0.000351466,32.97372823
          Sao Tome and Principe,2006,78.64,507.4530554,0.000549914,58.19031341
          Sao Tome and Principe,2007,114.64,728.5159601,0.000640409,79.61542906
          Sao Tome and Principe,2008,193.74,1211.996096,0.001253876,106.323404
          Sao Tome and Principe,2009,209.24,1287.511922,0.001159802,105.6681526
          Sao Tome and Principe,2010,233.84,1413.810408,0.001174682,110.1722727
